Rank;Country;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
224;United States Minor Outlying Islands;34;33;954;0;28,06;13
225;Nauru;30;28;297;8;9,9;9
226;British Indian Ocean Territory;26;23;365;0;14,04;8
227;Norfolk Island;26;23;256;0;9,85;10
228;Niue;21;18;72;1;3,43;5
229;South Georgia and the South Sandwich Islands;17;13;69;0;4,06;4
230;Wallis and Futuna;16;14;97;5;6,06;6
231;Cocos (Keeling) Islands;14;14;197;0;14,07;5
232;Western Sahara;11;9;43;0;3,91;4
233;Christmas Island;9;9;72;0;8;4
234;French Southern Territories;8;8;154;0;19,25;5
235;Tokelau;8;7;55;1;6,88;2
236;Bouvet Island;5;4;33;0;6,6;3
237;Saint Pierre and Miquelon;5;4;10;0;2;2
238;Pitcairn;3;1;13;0;4,33;2
239;Heard Island and McDonald Islands;2;2;9;0;4,5;1
